epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4308.65,1.23301,1.14278,0.00938,0.79648,0.71472,0.77509,0.5951,1.13058,0.91438,0.02213,0.00118912,0.000396372,0.00118912,0.000396372,0.00118912,0.000396372,0.00118912,0.000396372
31,4446.53,1.24329,1.1118,0.00934,0.76715,0.74288,0.77232,0.594,1.10965,0.90758,0.02151,0.0011726,0.000390868,0.0011726,0.000390868,0.0011726,0.000390868,0.0011726,0.000390868
32,4586.67,1.24101,1.09171,0.00928,0.73183,0.76572,0.784,0.60256,1.11035,0.90746,0.02127,0.00115609,0.000385364,0.00115609,0.000385364,0.00115609,0.000385364,0.00115609,0.000385364
33,4725.49,1.25666,1.07453,0.00933,0.77189,0.74931,0.78849,0.5988,1.12488,0.89465,0.02197,0.00113958,0.000379859,0.00113958,0.000379859,0.00113958,0.000379859,0.00113958,0.000379859
34,4864.07,1.24747,1.0678,0.00908,0.76784,0.76659,0.7897,0.60762,1.11398,0.91496,0.02157,0.00112306,0.000374355,0.00112306,0.000374355,0.00112306,0.000374355,0.00112306,0.000374355
35,5002.25,1.24187,1.06953,0.00934,0.75546,0.73174,0.77976,0.59872,1.12825,0.89652,0.02193,0.00110655,0.00036885,0.00110655,0.00036885,0.00110655,0.00036885,0.00110655,0.00036885
36,5140.95,1.22333,1.00127,0.00921,0.73434,0.76396,0.78836,0.61118,1.11716,0.8681,0.02175,0.00109004,0.000363346,0.00109004,0.000363346,0.00109004,0.000363346,0.00109004,0.000363346
37,5280.67,1.23095,1.00901,0.00902,0.7819,0.7274,0.79766,0.61091,1.12299,0.87646,0.02196,0.00107352,0.000357842,0.00107352,0.000357842,0.00107352,0.000357842,0.00107352,0.000357842
38,5418.64,1.2355,1.00284,0.0092,0.79504,0.72074,0.81501,0.62738,1.1109,0.89481,0.02157,0.00105701,0.000352337,0.00105701,0.000352337,0.00105701,0.000352337,0.00105701,0.000352337
39,5557.52,1.24306,0.99659,0.00906,0.8171,0.75032,0.82103,0.63657,1.0984,0.87175,0.02113,0.0010405,0.000346833,0.0010405,0.000346833,0.0010405,0.000346833,0.0010405,0.000346833
40,5699.57,1.22797,0.97394,0.00907,0.77515,0.77413,0.82092,0.63731,1.12166,0.863,0.0217,0.00102399,0.000341328,0.00102399,0.000341328,0.00102399,0.000341328,0.00102399,0.000341328
41,5839.89,1.23423,0.94283,0.00894,0.81909,0.74974,0.81964,0.63664,1.10508,0.86309,0.02132,0.00100747,0.000335824,0.00100747,0.000335824,0.00100747,0.000335824,0.00100747,0.000335824
42,5981.95,1.227,0.94663,0.00885,0.76312,0.78544,0.81861,0.62948,1.11942,0.85625,0.02194,0.000990959,0.00033032,0.000990959,0.00033032,0.000990959,0.00033032,0.000990959,0.00033032
43,6119.45,1.21729,0.92885,0.00885,0.82338,0.74029,0.81458,0.62606,1.10212,0.84683,0.02137,0.000974446,0.000324815,0.000974446,0.000324815,0.000974446,0.000324815,0.000974446,0.000324815
44,6258.07,1.22747,0.91836,0.0088,0.81088,0.76145,0.81743,0.63415,1.0914,0.85014,0.02085,0.000957932,0.000319311,0.000957932,0.000319311,0.000957932,0.000319311,0.000957932,0.000319311
45,6395.05,1.22365,0.93269,0.00898,0.79399,0.78375,0.82949,0.64301,1.09827,0.83012,0.02129,0.000941419,0.000313806,0.000941419,0.000313806,0.000941419,0.000313806,0.000941419,0.000313806
46,6534.9,1.22731,0.91871,0.00888,0.78456,0.74871,0.81459,0.63142,1.10037,0.83424,0.02122,0.000924906,0.000308302,0.000924906,0.000308302,0.000924906,0.000308302,0.000924906,0.000308302
47,6674.03,1.20362,0.89825,0.00888,0.80225,0.77531,0.82624,0.63506,1.11348,0.84133,0.02178,0.000908393,0.000302798,0.000908393,0.000302798,0.000908393,0.000302798,0.000908393,0.000302798
48,6813.68,1.22774,0.9033,0.00879,0.84188,0.76233,0.83074,0.64543,1.09781,0.84213,0.02111,0.00089188,0.000297293,0.00089188,0.000297293,0.00089188,0.000297293,0.00089188,0.000297293
49,6954.1,1.21723,0.89665,0.00881,0.77637,0.78976,0.81995,0.63315,1.12355,0.82541,0.02209,0.000875366,0.000291789,0.000875366,0.000291789,0.000875366,0.000291789,0.000875366,0.000291789
50,7095.28,1.20335,0.89599,0.00891,0.79049,0.79433,0.81991,0.63391,1.12099,0.82236,0.0219,0.000858853,0.000286284,0.000858853,0.000286284,0.000858853,0.000286284,0.000858853,0.000286284
51,7235.71,1.22704,0.88944,0.00875,0.80137,0.76867,0.82584,0.64478,1.0973,0.81518,0.0211,0.00084234,0.00028078,0.00084234,0.00028078,0.00084234,0.00028078,0.00084234,0.00028078
